"PERMIT_NO","APPLIED_DATE","APPROVED_DATE","ISSUED_DATE","FINALED_DATE","EXPIRED_DATE","PARENT_PROJECT_NO","PARENT_PERMIT_NO","PermitType","PermitSubType","STATUS","ZONING_CODE1","ZONING_CODE2","SITE_SUBDIVISION","SITE_DESCRIPTION","SITE_APN","SITE_ADDR","SITE_UNIT_NO","SITE_CITY","SITE_ZIP","DESCRIPTION","NOTES","JOBVALUE","FEES_CHARGED","FEES_PAID","CONTRACTOR_NAME","LONGITUDE","LATITUDE"
"ROW20-1107","2020-08-27 00:00:00","","","2020-09-02 00:00:00","","","METRO16-0008","RIGHT OF WAY","TELECOM/FIBER (METRO ACT)","CANCELLED","R1C","","ARBOR HEIGHTS NO.","","09-09-19-314-012","966 WESTWOOD AVE","","Ann Arbor","48103","install aerial fiber - attach to DTE poles","(8/27/2020 7:34 AM MB)
sent to Eng to review

(9/2/2020 11:10 AM AH)
Duplicate permit of ROW20-1100","0","0","0","Metro Engineering Solutions","-83.77315","42.29101"
"TCP20-0690","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-08-27 00:00:00","","2020-08-28 00:00:00","","ROW20-0564","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","D2","","","","09-09-29-150-019","219 W KINGSLEY ST","","Ann Arbor","48103","CLOSE N FIRST ST AND W KINGSLEY ST BETWEEN N ASHLEY ST AND","(8/27/2020 10:48 AM KK1)
DRIVEWAY TO 320 MILLER. MAINTENANCE OF TRAFFIC PER ATTACHED MOT PLA. ON FRIDAY, 08/28/20, WB KINGSLEY ST TRAFFIC TO BE DETOURED SOUTH ON N ASHLEY ST, WEST ON MILLER AVE TO N FIRST ST. TEMPORARY TWO WAY TRAFFIC WILL BE MAINTAINED FOR LOCAL TRAFFIC BETWEEN 320 MILLER AVE AND N ASHLEY ST USING FLAF CONTROL. AT THE END OF THE DAY FRIDAY, 08/281 N FIRST ST AND W KINGSLEY ST WILL BE REOPENED TO ONE LANE OF TRAFFIC (CURRENT CONFIGURATION).

(8/27/2020 10:53 AM KK1)
contractor gave corrected address of 219 w. kingsley.

(8/27/2020 12:22 PM BN)
No Fees - City Project","0","0","0","FONSON INC","-83.75066","42.28474"
"TCP20-0691","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-08-27 00:00:00","","2020-09-03 00:00:00","","","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","D2","","JAMES B. GOTT'S 1S","","09-09-29-221-032","320 MILLER AVE","","ANN ARBOR","48103","CLOSE THE INTERSECTION","(8/27/2020 12:21 PM BN)
No Fees- City Project","0","0","0","FONSON INC","-83.75133","42.2841"
"SIGN20-0066","2020-08-27 00:00:00","2020-09-02 00:00:00","2020-09-09 00:00:00","2020-10-08 00:00:00","","","BLDG20-1421","SIGN","SIGN","FINALED","","","","","09-12-05-100-017","2455 S MAIN ST","","Ann Arbor","48103","Monument sign","","0","100","100","SCS Image Group","-83.74907","42.25114"
"ROW20-1109","2020-08-27 00:00:00","2020-09-02 00:00:00","2020-09-02 00:00:00","","2021-09-02 00:00:00","","","RIGHT OF WAY","TELECOM/FIBER (METRO ACT)","ISSUED","R1D","","KRAPF ADDITION","","09-09-33-328-008","1305 GARDNER AVE","","Ann Arbor","48104","install aerial fiber - attach to DTE poles","(8/27/2020 7:43 AM MB)
sent to eng to revew","0","0","0","Metro Engineering Solutions","-83.73336","42.2631"
"BARR20-0112","2020-08-27 00:00:00","2020-08-27 00:00:00","","","2020-08-29 00:00:00","","","BARRICADE","BARRICADE","APPROVED","R1D","","KILLINS HEIGHTS AD","","09-09-30-111-017","304 S REVENA BLVD","","Ann Arbor","48103","Moving pod in street 8/21/20 - 8/29/20","(9/17/2020 2:22 PM TK)
emailed payment cover sheet","0","381.69999999999999","0","","-83.76597","42.27977"
"BLDG20-1420","2020-08-27 00:00:00","2020-09-12 00:00:00","2020-09-12 00:00:00","2020-12-21 00:00:00","","","","BUILDING","COMM ADD/ALT","FINALED","R4B","","","","09-09-35-306-072","1865 LINDSAY LN","","Ann Arbor","48104","Install 4 vinyl windows - same for same","","4106","219","219","Wallside Inc dba Wallside Window","-83.69283","42.26012"
"BLDG20-1422","2020-08-27 00:00:00","2020-09-12 00:00:00","2020-09-12 00:00:00","","2021-03-11 00:00:00","","","BUILDING","RES ADD/ALTER","ISSUED","R1C","","HOLLYWOOD PARK NO.","","09-08-24-106-003","1545 KUEHNLE AVE","","Ann Arbor","48103","Bathroom remodel","(9/12/2020 6:12 PM JHY)
emailed approval-permit issued","21800","467","467","Dream Maker Bath & Kitchen By World","-83.78548","42.2961"
"BLDG20-1426","2020-08-27 00:00:00","","","","","","","BUILDING","RES ADD/ALTER","ON HOLD","R2A","","KILLINS HEIGHTS AD","","09-09-30-106-012","300 MONTGOMERY AVE","","Ann Arbor","48103","Full interior remodel and second story addition","(8/28/2020 12:15 PM JHY)
attached is demolition permit application for 300 montgomery ave.  we are currently planning on doing interior demolition prior to finalizing more detailed architectural plans and making a final decision on a contractor so those components as well as final cost estimate are TBD.  a rough 3d rendering and floor plans are attached with application.  please let me know if you have any questions or concerns.  
regards
ryan beekman

(8/28/2020 12:19 PM JHY)
HOLD for correct permit application, emailed applicant","0","15","0","TBD","-83.76479","42.27991"
"ELEC20-2057","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-10-01 00:00:00","","","","ELECTRICAL","ELECTRICAL","FINALED","M1","","FRISINGER INDUSTRI","","09-12-04-201-006","1237 ROSEWOOD ST","","Ann Arbor","48104","320 amp service change fire damage to old service","","0","140","140","Vedder Electric Inc","-83.73292","42.25555"
"ELEC20-2059","2020-08-27 00:00:00","2020-09-01 00:00:00","2020-09-01 00:00:00","","2021-04-28 00:00:00","","BLDG18-2483","ELECTRICAL","ELECTRICAL","ISSUED","","","PACKARD HILLS SUBD","","09-12-04-122-005","2460 JAMES ST","","Ann Arbor","48104","New lighting/outlets - front porch, garage, deck","","0","75","75","FORMAN DAVID S & MARIA V","-83.72235","42.25285"
"ELEC20-2063","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-08-27 00:00:00","2021-01-22 00:00:00","","","MECH20-1894","ELECTRICAL","ELECTRICAL","FINALED","","","","","09-09-29-411-054","103 ASHLEY MEWS","","Ann Arbor","48104","Replace Furnace and A/C","","0","100","100","Pat Walters & Sons","-83.74945","42.27684"
"ELEC20-2064","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-09-18 00:00:00","","","MECH20-1895","ELECTRICAL","ELECTRICAL","FINALED","","","WUERTH SUBDIVISION","","09-09-31-403-027","1501 GREENVIEW DR","","Ann Arbor","48103","Replace Furnace and A/C","","0","100","100","Pat Walters & Sons","-83.76355","42.2623"
"ELEC20-2068","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-08-27 00:00:00","","2021-03-09 00:00:00","","MECH20-1903","ELECTRICAL","ELECTRICAL","ISSUED","","","","","09-09-27-100-049","807 ASA GRAY DR 406","406","Ann Arbor","48105","Replace A/C","","0","75","75","Robertson Morrison Inc","-83.70344","42.28423"
"ELEC20-2073","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-08-27 00:00:00","","2021-02-23 00:00:00","","MECH20-1908","ELECTRICAL","ELECTRICAL","ISSUED","","","","","09-12-11-300-005","3048 WILLIAMSBURG DR","","ANN ARBOR","48103","Replace A/C","","0","75","75","Koch & White","-83.69746","42.23511"
"ELEC20-2074","2020-08-27 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-10-01 00:00:00","","","BLDG20-0854","ELECTRICAL","ELECTRICAL","FINALED","","","","","09-12-04-300-064","777 E EISENHOWER PKWY 220","220","Ann Arbor","48108","Remove and relocate lights/receptacles for new layout","","0","111","111","A & N Electric Inc","",""
"ELEC20-2076","2020-08-27 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-09-29 00:00:00","","","","ELECTRICAL","ELECTRICAL","FINALED","R2A","","HAMILTON ROSE AND","","09-09-33-212-017","1320 SHEEHAN AVE","","Ann Arbor","48104","Install baseboard electic heaters","","0","70","70","Vedder Electric Inc","-83.73844","42.265"
"MECH20-1890","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-10-02 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R4A","","SMOKLER HUTZEL SUB","","09-12-09-104-081","3270 ALPINE DR","","Ann Arbor","48108","Inspect Water Heater","","0","65","65","Haley Mechanical","-83.72892","42.24286"
"MECH20-1894","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-08-27 00:00:00","2021-01-22 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","PUD","","","","09-09-29-411-054","103 ASHLEY MEWS","","Ann Arbor","48104","Replace Furnace and A/C","","0","155","155","Pat Walters & Sons","-83.74945","42.27684"
"MECH20-1895","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-09-18 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R1C","","WUERTH SUBDIVISION","","09-09-31-403-027","1501 GREENVIEW DR","","Ann Arbor","48103","Replace Furnace and A/C","","0","155","155","Pat Walters & Sons","-83.76355","42.2623"
"MECH20-1898","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-11-20 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R4A","","","","09-09-16-100-017","2858 LESLIE PARK CIR","","Ann Arbor","48105","Replace gas furnace and A/C","","0","155","155","Indoor Comfort Co","-83.72394","42.3142"
"MECH20-1903","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-09-10 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","PUD","","","","09-09-27-100-049","807 ASA GRAY DR 406","406","Ann Arbor","48105","Replace A/C","","0","90","90","Robertson Morrison Inc","-83.70344","42.28423"
"MECH20-1908","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-08-27 00:00:00","","2021-02-23 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R3","","","","09-12-11-300-005","3048 WILLIAMSBURG DR","","ANN ARBOR","48103","Replace A/C","","0","90","90","Koch & White","-83.69746","42.23511"
"PLUM20-1349","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-09-02 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R1B","","C.L. TUOMY WASHTEN","","09-09-34-205-009","2135 TUOMY RD","","Ann Arbor","48104","Add second meter for irrigation","","0","65","65","Hutzel Plumbing & Heating","-83.71711","42.26673"
"PLUM20-1351","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-10-12 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R1B","","KENSINGTON FARMS","","09-12-03-404-009","2810 CRANBROOK RD","","Ann Arbor","48104","Footing drain disconnect, replace sanitary sewer","","0","115","115","Wenzel Plbg Inc","-83.70605","42.24644"
"PLUM20-1352","2020-08-27 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-09-22 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R1D","","WILDWOOD PARK ADDI","","09-09-30-125-010","1500 HARBROOKE AVE","","Ann Arbor","48103","Replace sewer from house to street cut via pipe burst","(8/27/2020 9:47 PM JHY)
ROW?","0","100","100","Dynamic Drains LLC","-83.76588","42.28539"
"PLUM20-1353","2020-08-27 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-09-17 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R5","","","SONESTA ES INN","09-12-09-201-016","800 VICTORS WAY","","Ann Arbor","48108","Replace gate valve for complex","","0","65","65","Dynamic Drains LLC","-83.7359","42.23851"
"ROW20-1108","2020-08-27 00:00:00","2020-09-02 00:00:00","2020-09-02 00:00:00","","2021-09-02 00:00:00","","METRO16-0008","RIGHT OF WAY","TELECOM/FIBER (METRO ACT)","ISSUED","R1C","","MAPLE RIDGE","","09-09-19-309-013","2214 FAYE DR","","Ann Arbor","48103","install aerial fiber - attach to DTE poles","(8/27/2020 7:39 AM MB)
sent to Eng to review","0","0","0","Metro Engineering Solutions","-83.77677","42.28652"
"TCP20-0689","2020-08-27 00:00:00","2020-08-27 00:00:00","2020-08-27 00:00:00","","2020-09-03 00:00:00","","ROW20-0571","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","R4C","","WEINBERG'S SUB-DIV","","09-09-29-420-007","411 HILL ST","","Ann Arbor","48104","RE-DIRECT TRAFFIC TO TURN LANE WITH ARROW BOARD AND CONES TO","(8/27/2020 8:43 AM KK1)
PROVIDE WORK AREA FOR OUR CREWS, WHILE KEEPING TRAFFIC FLOWING. SIDEWALK WILL BE CLOSED WITH PROPER SINAGE AND RE-ROUTE DETOUR

(8/27/2020 1:40 PM MB)
sent payment coversheet.","0","38.75","38.75","","-83.74403","42.27198"
"TCP20-0692","2020-08-27 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2020-09-01 00:00:00","","ROW20-0815","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","O","","STIMSON SUBDIVISIO","","09-09-33-313-036","1000 E STADIUM BLVD","","Ann Arbor","48104","CLOSE THE RIGHT TURN LANE ON S BOUND INDUSTRIAL AT STIMSON","(8/28/2020 11:56 AM BN)
No fees- Metro Act","0","0","0","NATIONAL FIBER CONSTRUCTION","-83.73675","42.26087"
"TCP20-0694","2020-08-28 00:00:00","2020-08-31 00:00:00","2020-08-31 00:00:00","","2020-09-04 00:00:00","","ROW20-1059","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","R1C","","SUNNYSIDE","","09-09-31-117-014","1831 CORONADA DR","","Ann Arbor","48103","Replace sewer","(8/28/2020 12:39 PM AMKR)
Replace sanitary lead from house to main in road. Maintain traffic cones, flags, person, utility work ahead of signs

(8/31/2020 7:20 AM MB)
sent payment coversheet.","0","38.75","38.75","Perimeter LLC","-83.76986","42.26402"
"ROW20-1110","2020-08-28 00:00:00","2020-09-14 00:00:00","2020-09-14 00:00:00","","2021-09-14 00:00:00","CVLC20-014","","RIGHT OF WAY","DRIVE APPROACH - COMMERCIAL","ISSUED","D2","","ANN ARBOR LAND COM","LAND PARCEL FOR THE STANDARD AT ANN ARBOR","09-09-29-429-018","405 S MAIN ST","","Ann Arbor","48104","Install Storm and Replace Drive (alley)","(8/28/2020 7:49 AM AMKR)
Install storm sewer, remove and replace walks, curbs, asphalt and drive approaches.

(8/28/2020 7:52 AM AMKR)
Per Nicole drawings are part of project CVLP20-006

(9/14/2020 11:41 AM AH)
Private development project; fees collected through construction escrow.","0","0","0","EAGLE EXCAVATION, INC.","-83.74841","42.27726"
"ROW20-1111","2020-08-28 00:00:00","2020-09-04 00:00:00","2020-09-09 00:00:00","","2021-09-09 00:00:00","CVLC20-014","","RIGHT OF WAY","DRIVE APPROACH - COMMERCIAL","ISSUED","D2","","ANN ARBOR LAND COM","LAND PARCEL FOR THE STANDARD AT ANN ARBOR","09-09-29-429-018","405 S MAIN ST","","Ann Arbor","48104","Replace sewer and drive approach (Packard)","(8/28/2020 8:01 AM AMKR)
Remove and replace sanitary, water, curbs, walks, drive appraoch. Install storm sewer

(8/28/2020 8:02 AM AMKR)
Per Nichole drawings are part of project CVLP20-006

(9/9/2020 4:50 PM MB)
Michelle, these permits can be issued.  No fees; private development project. 

Nichole, I linked these to your CVLC file for the Standard.

Alison Heatley, Private Development Coordinator","0","0","0","EAGLE EXCAVATION, INC.","-83.74841","42.27726"
"ROW20-1112","2020-08-28 00:00:00","2020-09-04 00:00:00","2020-09-09 00:00:00","","2021-09-09 00:00:00","CVLC20-014","","RIGHT OF WAY","SERVICE LEAD","ISSUED","D2","","ANN ARBOR LAND COM","LAND PARCEL FOR THE STANDARD AT ANN ARBOR","09-09-29-429-018","405 S MAIN ST","","Ann Arbor","48104","Replace sewer, water and walks (S Main St)","(8/28/2020 8:10 AM AMKR)
Remove and replace sanitary, water, barricades, curbs and walks, asphalt patch road

(8/28/2020 8:13 AM AMKR)
per Nichole drawings part of project CVLP20-006

(9/9/2020 4:51 PM MB)
Michelle, these permits can be issued.  No fees; private development project. 

Nichole, I linked these to your CVLC file for the Standard.

Alison Heatley, Private Development Coordinator","0","0","0","EAGLE EXCAVATION, INC.","-83.74841","42.27726"
"ROW20-1113","2020-08-28 00:00:00","","","","","","","RIGHT OF WAY","DRIVE APPROACH - COMMERCIAL","UNDER REVIEW","D2","","ANN ARBOR LAND COM","LAND PARCEL FOR THE STANDARD AT ANN ARBOR","09-09-29-429-018","405 S MAIN ST","","Ann Arbor","48104","Install barricades, sewer lead, drive approach (E William)","(8/28/2020 8:16 AM AMKR)
Install barricades, sanitary manhole and lead remove and replace curbs and walks, asphalt patch and drive approach.

(8/28/2020 8:17 AM AMKR)
Per Nichole drawings are part of project CVLP20-006","0","596","0","EAGLE EXCAVATION, INC.","-83.74841","42.27726"
"ROW20-1114","2020-08-28 00:00:00","","","","","","","RIGHT OF WAY","UTILITY MAIN - REPAIR","CLOSED","PL","","","U OF M MEDICAL SCIENCE BUILDING 1","09-09-28-215-001","1301 CATHERINE ST","","Ann Arbor","48109","Upgrade main to 12"","(8/28/2020 8:22 AM AMKR)
Close north lane of Catherine and Zina Pticher shut down, remove existing water and upgrade new 12". No drawings were added, he said it was part of a project.

(9/2/2020 3:26 PM ANWR)
 Closed this Permit
This is a duplicate permt see ROW20-1068","0","405","0","EAGLE EXCAVATION, INC.","-83.73345","42.2842"
"ROW20-1120","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2021-09-22 00:00:00","","","RIGHT OF WAY","SERVICE LEAD","FINALED","R1D","","WILDWOOD PARK ADDI","","09-09-30-125-010","1500 HARBROOKE AVE","","Ann Arbor","48103","Sewer replacement","(8/28/2020 9:17 AM AMKR)
Sewer replacement from house street cut via pipe  bursting installation","0","405","405","Stone & Dirt","-83.76588","42.28539"
"ROW20-1122","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2021-08-28 00:00:00","","","RIGHT OF WAY","SIDEWALK - REMOVE/REPLACE","ISSUED","R2B","","MAYNARD AND MORGAN","","09-09-29-422-002","620 S STATE ST","","Ann Arbor","48103","remove and replace sidewalk","(8/28/2020 10:02 AM MB)
sent payment coversheet over","0","28.5","28.5","Spence Brothers","-83.74109","42.27352"
"ROW20-1124","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2021-08-28 00:00:00","","","RIGHT OF WAY","SIDEWALK - REMOVE/REPLACE","ISSUED","PL","","MAYNARD AND MORGAN","","09-09-29-437-012","330 PACKARD ST","","Ann Arbor","48104","remove/replace sidewalk","(8/28/2020 10:14 AM MB)
sent payment coversheet.","0","6","6","Spence Brothers","-83.74526","42.27447"
"ROW20-1125","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2021-08-28 00:00:00","","","RIGHT OF WAY","SIDEWALK - REMOVE/REPLACE","ISSUED","PL","","ANN ARBOR LAND CO","","09-09-28-301-001","625 S STATE ST","","Ann Arbor","48103","remove and replace sidewalk","(8/28/2020 10:24 AM MB)
sent payment coversheet.","0","18.899999999999999","18.899999999999999","Spence Brothers","-83.7395","42.27418"
"ROW20-1126","2020-08-28 00:00:00","2020-09-03 00:00:00","2020-09-03 00:00:00","","2021-09-03 00:00:00","","METRO15-0004","RIGHT OF WAY","TELECOM/FIBER (METRO ACT)","ISSUED","RE","","RESEARCH PARK","","09-12-09-301-006","3975 RESEARCH PARK DR","","Ann Arbor","48108","Fiber though existing conduit.  No excavation required.","(8/28/2020 10:51 AM AMKR)
Starting on the southeast side of Research Park Dr and S Research Park Dr 123 Net will utilize existing 123 Net conduit to head west to the customer property at 3975 Research Park Dr. Once in front of the customer address 123 Net will proceed onto customers peroperty to head to the POE

(9/3/2020 2:27 PM KK1)
This permit is approved.  Please note: Fiber though existing conduit.  No excavation required.  (original description said aerial cable).  METRO Act; no fees.

Alison Heatley, Private Development Coordinator","0","0","0","123.NET - JACOB RODRIGUEZ","-83.73289","42.22997"
"ROW20-1134","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2021-09-14 00:00:00","","","RIGHT OF WAY","SERVICE LEAD","FINALED","R1B","","HURON RIVER HILLS","","09-09-16-301-010","527 BARTON DR","","Ann Arbor","48105","Sewer Replacement","(8/28/2020 2:30 PM AMKR)
Pipe curt sewer line replacement from hout to main in street","0","405","405","Tanner Patrick","-83.73822","42.30151"
"ROW20-1135","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2021-08-28 00:00:00","","","RIGHT OF WAY","SERVICE LEAD","ISSUED","R1C","","DARLINGTON NUMBER","","09-12-02-301-005","2481 PARKWOOD AVE","","Ann Arbor","48104","Replace Gas Service","(8/28/2020 2:51 PM AMKR)
need to replace gas service line from main to building wall W#58458989","0","405","405","Michcon - Judy Darolfi","-83.6947","42.25167"
"PLUM20-1355","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-11-16 00:00:00","","","BLDG20-1280","PLUMBING","PLUMBING","FINALED","","","ASSESSOR'S PLAT NO","","09-09-34-201-002","2300 MELROSE AVE","","Ann Arbor","48104","Family room - Kitchen - Master bath Renovation","(8/24/2020 8:29 AM JHY)
emailed for payment and registration docs.  Once received, permit can be issued","0","285","285","Chelsea Plumbing","-83.71357","42.2656"
"PLUM20-1356","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2021-04-24 00:00:00","","","PLUMBING","PLUMBING","ISSUED","R1D","","WILDWOOD PARK ADDI","","09-09-30-128-014","302 N REVENA BLVD","","Ann Arbor","48103","Water service","","0","145","145","Knight Robert","-83.76515","42.28419"
"PLUM20-1358","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2021-02-24 00:00:00","","","PLUMBING","PLUMBING","ISSUED","R4C","","","LAND PARCEL FOR RACKHAM GARDENS CONDOS","09-09-28-212-900","921 E HURON ST","","","","Replace meter valves","","0","65","65","Motor City Plumbing LLC","",""
"MECH20-1911","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-09-25 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R2A","","W.S. MAYNARD'S 3RD","","09-09-29-321-019","535 SIXTH ST","","Ann Arbor","48103","Replace Gas Water Heater","","0","65","65","Indoor Comfort Co","-83.75689","42.27475"
"MECH20-1912","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-10-15 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R1C","","SMOKLER BOLGOS SUB","","09-09-14-211-033","3478 RICHMOND CT","","Ann Arbor","48105","Replace Gas Furnace, A/C, and Humidifier","","0","165","165","Indoor Comfort Co","-83.69481","42.31647"
"MECH20-1914","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-09-23 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R4A","","TIMBER RIDGE SUBDI","","09-09-23-403-040","1313 NATALIE LN","","ANN ARBOR","48103","Water Heater Replacement","(9/4/2020 2:16 PM JHY)
Update address to 1313 Natalie per Susan email request 9/2/2020","0","65","65","K T Group Inc","-83.68474","42.29389"
"MECH20-1915","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-10-07 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R4A","","TIMBER RIDGE SUBDI","","09-09-23-403-040","1511 NATALIE LN 202","202","ANN ARBOR","48103","HWC Replacement","","0","140","140","K T Group Inc","-83.68474","42.29389"
"MECH20-1916","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-09-24 00:00:00","","","ELEC20-2083","MECHANICAL","MECHANICAL","FINALED","R4A","","TIMBER RIDGE SUBDI","","09-09-23-403-040","1321 NATALIE LN 202","202","ANN ARBOR","48103","Unit 202: HWC Replacement","","0","140","140","K T Group Inc","-83.68474","42.29389"
"MECH20-1917","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-09-21 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R4A","","","","09-09-21-105-018","1883 POINTE CROSSING ST 101","101","ANN ARBOR","48103","HWC Replacement/ Disconnect","","0","140","140","K T Group Inc","-83.72307","42.30091"
"MECH20-1919","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-31 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R1C","","TIMBER RIDGE SUBDI","","09-09-23-400-036","1325 WYNNSTONE DR","","Ann Arbor","48105","Gas pipe to generator","","0","100","100","D & R Heating & Cooling Inc","-83.68732","42.29194"
"MECH20-1921","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-09-24 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R4C","","BROWN & BACH ADD.","","09-09-32-113-004","110 E DAVIS AVE","","Ann Arbor","48104","Replace A/C","","0","90","90","Kodiak Heating & Cooling","-83.74951","42.27005"
"ELEC20-2080","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2021-01-14 00:00:00","","","BLDG20-1206","ELECTRICAL","ELECTRICAL","FINALED","","","LAKE WOOD SUBDIVIS","","09-08-25-107-013","230 HIGHLAKE AVE","","Ann Arbor","48103","Refeed 1 new swicth leg and ceiling box","","0","115","115","Dan's Electric Corp","-83.7885","42.28102"
"ELEC20-2082","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-09-24 00:00:00","","","MECH20-1915","ELECTRICAL","ELECTRICAL","FINALED","","","TIMBER RIDGE SUBDI","","09-09-23-403-040","1511 NATALIE LN 202","202","ANN ARBOR","48103","HWC Replacement","","0","100","100","K T Group Inc","-83.68474","42.29389"
"ELEC20-2083","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-10-02 00:00:00","","","","ELECTRICAL","ELECTRICAL","FINALED","R4A","","TIMBER RIDGE SUBDI","","09-09-23-403-040","1321 NATALIE LN 202","202","ANN ARBOR","48103","Unit 202: HWC Replacement","","0","100","100","K T Group Inc","-83.68474","42.29389"
"ELEC20-2084","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-09-21 00:00:00","","","MECH20-1917","ELECTRICAL","ELECTRICAL","FINALED","","","","","09-09-21-105-018","1883 POINTE CROSSING ST 101","101","ANN ARBOR","48103","HWC Replacement/ Disconnect","","0","100","100","K T Group Inc","-83.72307","42.30091"
"ELEC20-2085","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2021-03-23 00:00:00","","MECH20-1921","ELECTRICAL","ELECTRICAL","ISSUED","","","BROWN & BACH ADD.","","09-09-32-113-004","110 E DAVIS AVE","","Ann Arbor","48104","Replace A/C","","0","75","75","Kodiak Heating & Cooling","-83.74951","42.27005"
"ELEC20-2086","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-09-11 00:00:00","","","","ELECTRICAL","ELECTRICAL","FINALED","R2A","","ASSESSOR'S PLAT NO","","09-09-29-215-029","514 N SEVENTH ST","","Ann Arbor","48103","Remove knob & tube wiring","","0","102","102","Snider Electric LLC","-83.75864","42.28537"
"ELEC20-2089","2020-08-28 00:00:00","2020-09-14 00:00:00","2020-09-14 00:00:00","2020-10-29 00:00:00","","","","ELECTRICAL","SOLAR","FINALED","R1D","","JAMES B. GOTT'S 2N","","09-09-20-303-012","910 GOTT ST","","Ann Arbor","48103","Solar - roof mounted","(9/14/2020 11:13 AM JHY)
emailed, permit approved and issued","0","0","0","A J Leo Electric & Solar","-83.75671","42.29001"
